Symbol,Industry,Sector,Open,High,Low,Last,Change,% Change,Bid,Offer,Volume (Shares),Value ('000 Baht),totalEquity,financingCashFlow,roe,market
BH,SERVICE - Services,HELTH - Health Care Services,272,274,271,272,1,0.37,271,272,2791949,759201.39,21050359.0,-23973.0,17.042969931696152,SET-Thailand
BKGI,SERVICE - Services,HELTH - Health Care Services,2.9,2.96,2.86,2.9,-0.06,-2.03,2.88,2.9,11534685,33528.99,,,,SET-Thailand
CHG,SERVICE - Services,HELTH - Health Care Services,2.76,2.78,2.72,2.72,-0.02,-0.73,2.72,2.74,9948015,27302.17,4068811.0,-35142.0,18.68243193098679,SET-Thailand
CMR,SERVICE - Services,HELTH - Health Care Services,1.96,1.97,1.93,1.95,0,0,1.95,1.96,152016,295.17,5373426.88,-6912.36,6.911017016203464,SET-Thailand
EKH,SERVICE - Services,HELTH - Health Care Services,6.75,6.8,6.65,6.7,-0.1,-1.47,6.65,6.7,975619,6561.46,964579.0,-1238.0,13.923272166705722,SET-Thailand
KDH,SERVICE - Services,HELTH - Health Care Services,-,-,-,-,-,-,91,92.5,-,-,481725.0,-46.0,5.400391228250798,SET-Thailand
LPH,SERVICE - Services,HELTH - Health Care Services,4.68,4.74,4.64,4.72,0.06,1.29,4.72,4.74,104200,491.14,1419241.34,10054.54,8.285865015090694,SET-Thailand
M-CHAI,SERVICE - Services,HELTH - Health Care Services,33.5,33.75,33.25,33.75,0.25,0.75,33.5,33.75,27342,920.52,2884664.65,1468897.21,8.200417678117807,SET-Thailand
NEW,SERVICE - Services,HELTH - Health Care Services,70,82.5,70,82.5,18.5,28.91,66.25,81.75,1300,105.45,360953.75,-3389.73,4.798000618236055,SET-Thailand
NTV,SERVICE - Services,HELTH - Health Care Services,32,32.25,31.25,31.25,-0.25,-0.79,31.25,31.5,25517,802.27,2049854.0,0.0,19.75875542162137,SET-Thailand
PHG,SERVICE - Services,HELTH - Health Care Services,17,17.1,16.8,17,-0.1,-0.58,16.9,17,1104516,18689.63,,,,SET-Thailand
PR9,SERVICE - Services,HELTH - Health Care Services,21.6,21.8,21.1,21.5,0.1,0.47,21.4,21.5,4157468,89076.17,4073571.0,-888.0,5.866237861446597,SET-Thailand
PRINC,SERVICE - Services,HELTH - Health Care Services,3.54,3.56,3.5,3.54,0,0,3.52,3.54,305634,1078.03,9634228.0,291899.78,-2.705360275581902,SET-Thailand
RAM,SERVICE - Services,HELTH - Health Care Services,27.25,27.25,25.5,25.5,-1.5,-5.56,25.5,25.75,1397546,36388.3,14801813.55,-203436.32,12.00132594127445,SET-Thailand
