Symbol,Industry,Sector,Open,High,Low,Last,Change,% Change,Bid,Offer,Volume (Shares),totalEquity,financingCashFlow,roe,market
SHR,SERVICE - Services,TOURISM - Tourism & Leisure,2.4,2.4,2.3,2.32,-0.04,-1.69,2.32,2.34,9662847,19113839,-66934,-0.610367232,SET-Thailand
SPA,SERVICE - Services,TOURISM - Tourism & Leisure,7.4,7.45,7.2,7.25,-0.1,-1.36,7.25,7.3,5519880,1135748,64707,18.40494391,SET-Thailand
VRANDA,SERVICE - Services,TOURISM - Tourism & Leisure,5.65,5.7,5.65,5.7,0.05,0.88,5.7,5.75,66600,2099661,124448,2.530270754,SET-Thailand
AAV,SERVICE - Services,TRANS - Transportation & Logistics,2.7,2.72,2.64,2.64,-0.04,-1.49,2.64,2.66,47164511,22583819.82,-11756059.6,-8.642065097,SET-Thailand
ANI,SERVICE - Services,TRANS - Transportation & Logistics,3.94,3.98,3.88,3.92,-0.02,-0.51,3.88,3.92,100517,,,,SET-Thailand
AOT,SERVICE - Services,TRANS - Transportation & Logistics,64,64.5,63.75,63.75,-0.25,-0.39,63.5,63.75,19661667,161856334.7,-797348.35,16.68917051,SET-Thailand
ASIMAR,SERVICE - Services,TRANS - Transportation & Logistics,1.64,1.72,1.64,1.66,0.04,2.47,1.65,1.66,2631441,436868,-34305,2.434686063,SET-Thailand
B,SERVICE - Services,TRANS - Transportation & Logistics,0.1,0.1,0.09,0.09,-0.01,-10,0.09,0.1,6064849,675534,-15838,-5.604938212,SET-Thailand
BA,SERVICE - Services,TRANS - Transportation & Logistics,23.4,23.9,23.4,23.9,0.5,2.14,23.8,23.9,6919463,22342430,-1044519,-1.836889097,SET-Thailand
BEM,SERVICE - Services,TRANS - Transportation & Logistics,8.05,8.1,8,8,-0.1,-1.23,7.95,8,61557708,36484366,5584208,14.0110188,SET-Thailand
BTS,SERVICE - Services,TRANS - Transportation & Logistics,4.74,4.76,4.66,4.7,-0.04,-0.84,4.7,4.72,99202018,65393637,17871387,7.418924302,SET-Thailand
BTSGIF,SERVICE - Services,TRANS - Transportation & Logistics,3.44,3.48,3.44,3.48,0.06,1.75,3.46,3.48,6972761,,,,SET-Thailand
DMT,SERVICE - Services,TRANS - Transportation & Logistics,11.6,11.7,11.5,11.6,0,0,11.6,11.7,856340,,,,SET-Thailand
ETL,SERVICE - Services,TRANS - Transportation & Logistics,0.88,0.92,0.87,0.9,0.03,3.45,0.9,0.91,4239085,,,,SET-Thailand
III,SERVICE - Services,TRANS - Transportation & Logistics,7,7.1,6.85,6.85,-0.05,-0.72,6.85,6.9,1847805,1308455.94,252729.21,11.24207029,SET-Thailand
KEX,SERVICE - Services,TRANS - Transportation & Logistics,3.14,3.22,3.08,3.12,0,0,3.1,3.12,2040736,,,,SET-Thailand
KIAT,SERVICE - Services,TRANS - Transportation & Logistics,0.36,0.38,0.36,0.36,0,0,0.36,0.37,3016350,1179462.45,-2968.31,12.90823907,SET-Thailand
KWC,SERVICE - Services,TRANS - Transportation & Logistics,315,315,279,279,-31,-10,288,314,4101,685321,-871,15.70335593,SET-Thailand
MENA,SERVICE - Services,TRANS - Transportation & Logistics,1.36,1.36,1.33,1.34,0,0,1.34,1.35,2323284,,,,SET-Thailand
NOK,SERVICE - Services,TRANS - Transportation & Logistics,-,-,-,-,-,-,-,-,-,-5137826.32,762777.09,,SET-Thailand
NYT,SERVICE - Services,TRANS - Transportation & Logistics,3.38,3.4,3.32,3.34,0,0,3.34,3.36,3349135,3730235,-64419,8.873562375,SET-Thailand
PORT,SERVICE - Services,TRANS - Transportation & Logistics,1.59,1.65,1.59,1.6,0.02,1.27,1.6,1.62,176600,1494806.7,-51860.77,5.968111126,SET-Thailand
PRM,SERVICE - Services,TRANS - Transportation & Logistics,8.9,9.05,8.9,9.05,0.15,1.69,9,9.05,11903287,7626344,-463515,15.16672069,SET-Thailand
PSL,SERVICE - Services,TRANS - Transportation & Logistics,8.8,9.15,8.8,9.15,0.55,6.4,9.15,9.2,42866988,12223701,-97087,-2.12632838,SET-Thailand
RCL,SERVICE - Services,TRANS - Transportation & Logistics,24,26,24,26,2.5,10.64,25.75,26,30767052,8020178,-341502,-5.566018567,SET-Thailand
SAV,SERVICE - Services,TRANS - Transportation & Logistics,21.7,22.3,21.7,22.3,0.5,2.29,22.2,22.3,1588662,,,,SET-Thailand
SINO,SERVICE - Services,TRANS - Transportation & Logistics,1.24,1.32,1.24,1.3,0.06,4.84,1.29,1.3,6470010,,,,SET-Thailand
SJWD,SERVICE - Services,TRANS - Transportation & Logistics,12.2,12.4,12.1,12.1,0,0,12.1,12.2,3016771,3292405,-423472,11.60448585,SET-Thailand
TFFIF,SERVICE - Services,TRANS - Transportation & Logistics,6.95,6.95,6.9,6.95,0,0,6.9,6.95,2343656,,,,SET-Thailand
THAI,SERVICE - Services,TRANS - Transportation & Logistics,-,-,-,-,-,-,-,-,-,-12460112,4340404,-646.8469673,SET-Thailand
TSTE,SERVICE - Services,TRANS - Transportation & Logistics,15.7,15.7,15.5,15.7,0,0,15.2,15.7,40300,3742667,-196935,5.718158478,SET-Thailand
TTA,SERVICE - Services,TRANS - Transportation & Logistics,6.2,6.5,6.15,6.4,0.35,5.79,6.4,6.45,29339471,23365667,-380179,1.034056266,SET-Thailand
WICE,SERVICE - Services,TRANS - Transportation & Logistics,6.3,6.9,6.25,6.85,0.6,9.6,6.85,6.9,5697555,926968,5630,9.574420717,SET-Thailand
